graph_label,nodes,components,sequential_mean_time_s,parallel_4_processes_mean_time_s,parallel_4_processes_speedup,parallel_8_processes_mean_time_s,parallel_8_processes_speedup,parallel_12_processes_mean_time_s,parallel_12_processes_speedup,parallel_16_processes_mean_time_s,parallel_16_processes_speedup,distributed_2_workers_mean_time_s,distributed_2_workers_speedup,distributed_3_workers_mean_time_s,distributed_3_workers_speedup,distributed_5_workers_mean_time_s,distributed_5_workers_speedup,distributed_10_workers_mean_time_s,distributed_10_workers_speedup
few parts medium & grid,5000,5,0.0013884757915851272,0.00410665333426247,0.33810396899121,0.0036394200011272914,0.381510183258611,0.0031963133335617994,0.4343991488587524,0.0036806666666961974,0.3772348645826808,0.005870776066634183,0.23650634529842735,0.007395306266698753,0.18775095195684702,0.005580996533778185,0.24878635619670708,0.005400461000196325,0.2571031975852897
few parts large & sparse,50000,5.466666666666667,0.01730656766930224,0.03157039866688946,0.5481897093511555,0.030242689333196418,0.5722562394709184,0.03142510222203176,0.5507243078168514,0.0319342213333645,0.5419442512356029,0.06242024351558131,0.27725889382315827,0.06862751391999053,0.2521811833294606,0.05913014748421524,0.2926860223699293,0.058650459480252014,0.29507983096244067
few parts large & medium,50000,5,0.03103009731441893,0.042801959999778774,0.7249690741867736,0.037527929333284395,0.8268534359794164,0.03826025111086589,0.8110270166419896,0.03796076577779281,0.8174254833544916,0.09965684264904767,0.31136946033595275,0.11124765093336667,0.2789281126754294,0.0980432449777921,0.3164939850924722,0.09770321924006567,0.3175954442010265
few parts large & dense,50000,5,0.04490098169065959,0.05577496888859767,0.8050382202873609,0.04492383377788226,0.9994913148478008,0.04341723199975806,1.034174212002041,0.04230099955556701,1.061463846301722,0.13676513981769353,0.3283072115490257,0.15578638019112784,0.2882214840319959,0.14086214560882784,0.31875832571334656,0.13309105750315617,0.3373703878609184
few parts large & grid,50000,5,0.016790285366626752,0.039239446667488666,0.4278930207376784,0.03449525333271595,0.48674190633360354,0.032268086666590534,0.5203371845412496,0.03314098666693705,0.5066320304632783,0.055865827666517966,0.30054661441433655,0.08134872286658114,0.20639888095310674,0.05364590159976312,0.3129835619483911,0.0545137257334621,0.30800106103040376
few parts huge & sparse,500000,7.306666666666667,0.3156330492839632,0.3462981808887303,0.9114487649745402,0.31136137022232613,1.013719361070986,0.3097340795554919,1.0190452717922969,0.29499919111109596,1.0699454737321519,1.2566195033998036,0.2511763094795307,1.44770194549332,0.2180235028809109,1.2448275043912065,0.2535556518236848,1.2172929782489599,0.2592909471456839
few parts huge & medium,500000,5,0.5248413653344932,0.45012135555611976,1.1659996995389337,0.3710768111108337,1.4143739237258157,0.35529091999972784,1.4772158132690114,0.33426991422223284,1.570112483965765,1.9595639121822832,0.26783579860378204,2.248690068480046,0.2333987118506058,1.9727520641559062,0.2660452749591016,1.9286203340666057,0.27213306634999296
few parts huge & dense,500000,5,0.7415325024361881,0.5827462582226144,1.2724792171087882,0.44498855600013887,1.666408028785254,0.4083330893332216,1.8159990503024308,0.38451384044442927,1.9284936572871059,2.752096677320304,0.2694427519741831,3.0633121318133374,0.24206886876958097,2.7489314934489086,0.26975299464659797,2.6899329717194713,0.2756695093269117
few parts huge & grid,500000,5,0.26918535457495335,0.40555557333136677,0.6637446808184052,0.3697241266670365,0.7280708375771602,0.3704227933325456,0.7266975991223448,0.3520804399999179,0.7645564024375116,1.1793380264013347,0.22825122954472446,1.5405658727995615,0.1747314797294463,1.1740959453347992,0.22927032125827998,1.1594139423337766,0.2321736394105387
some parts small & sparse,500,50,0.0010586525033818362,0.0003321640000406963,3.1871379898246994,0.0003389000000121693,3.123790213466574,0.00032571911126271717,3.250200761256384,0.0003465653333579313,3.054698209784486,0.007387780875303886,0.14329776711715073,0.010937999920006405,0.09678666219822173,0.011452005728917558,0.09244254049826606,0.012751607088203956,0.08302110440347216
some parts small & medium,500,50,0.0006862747833734931,0.0004218133336204725,1.6269632291684986,0.00041657777771534813,1.6474109280078586,0.000421279555432395,1.6290246571996854,0.0004216288888528652,1.627674956620396,0.00442148436387975,0.15521366285491123,0.005639020524431544,0.1217010614520994,0.006201057035973968,0.11067061299262884,0.007551772168953903,0.0908759914917505
some parts small & dense,500,50,0.0006630941955732952,0.0005149626665903876,1.2876548895548086,0.0005293515554836227,1.2526537207725468,0.0005544057774305758,1.1960448872781269,0.0005184346666545833,1.2790313577064358,0.004519634511218303,0.14671411901281217,0.005640897217797626,0.11755119265090722,0.006137898671149742,0.1080327700243845,0.007894664773743393,0.08399269817999853
some parts small & grid,500,50,0.0010321206919040075,0.00029681333301899334,3.477339381644157,0.0002831199992215261,3.6455237875881346,0.00030269333365140483,3.4097899661465414,0.0002987133332984134,3.455221367279656,0.005259075267046379,0.1962551664493805,0.00908228079994539,0.11364113427435689,0.0088809255331095,0.116217694659875,0.010463379133337487,0.09864123996191215
some parts medium & sparse,5000,50,0.0013538874777779912,0.0035925560002861958,0.376859115813403,0.003540795555519354,0.3823681589487894,0.003353296444337401,0.4037482221603925,0.003992897333318979,0.3390739517593887,0.008904355942278118,0.152047771512558,0.010325104871117218,0.13112578464604932,0.010126992240127745,0.13369097612352004,0.011433080204426207,0.11841843611434184
some parts medium & medium,5000,50,0.0018942180544988534,0.005404165333311539,0.3505107519236691,0.005410121333164473,0.35012487481327753,0.005284905333149557,0.35842043236183907,0.005555792888868988,0.3409446846540865,0.010662694404600189,0.17764909905714207,0.012067217919983603,0.1569722256661979,0.01150423764875288,0.16465393990745633,0.012817137924850815,0.14778791221604967
some parts medium & dense,5000,50,0.0025350564256023567,0.0077641604447207,0.3265074754252519,0.007949648444385579,0.3188891236307103,0.007229091110897975,0.3506742945569903,0.007904349333406975,0.3207166483505712,0.012760924071060597,0.19865774700057917,0.014184827964442471,0.1787160501316659,0.013025285590815151,0.19462578443500425,0.014398146866199871,0.17606824330660817
some parts medium & grid,5000,50,0.0012553092830178989,0.003360419999808073,0.37355725864314415,0.0035331933337147347,0.35529028967630527,0.003147520000250855,0.39882487892621865,0.003757013333476304,0.334124255517715,0.008431308266881387,0.14888665474951476,0.009938277999996597,0.12631054223058852,0.009813284466508776,0.1279193818646627,0.011125783935616104,0.11282883887393995
some parts large & sparse,50000,50.346666666666664,0.01456539840168312,0.034498317777955284,0.4222060477102606,0.03450618977755463,0.42210972859013046,0.03683042577771832,0.3954718984132651,0.037680493333330865,0.3865500982918148,0.05762240689318989,0.2527731691021142,0.06606113348891085,0.2204836283066214,0.05086557586172906,0.286350801203492,0.05250965556039268,0.2773851446222321
some parts large & medium,50000,50,0.023762928258931122,0.04897512844462957,0.48520400075718184,0.04665033822219508,0.509383836527584,0.04948272888907619,0.4802267132881798,0.04927500755551995,0.4822511337447602,0.08023723297788012,0.2961583715814591,0.09068980344446068,0.2620242558303015,0.07000714056410491,0.3394357785142163,0.07074811014702492,0.3358807494581591
some parts large & dense,50000,50,0.03478428545892484,0.06809254933320012,0.5108383486820774,0.06135790266672201,0.5669079930561316,0.0638066719999511,0.5451512258616387,0.0640215848888733,0.5433212176690461,0.10928542727559236,0.31828841526333596,0.12681463548436417,0.27429235849685213,0.09767726711097768,0.3561144418527198,0.09654523040866479,0.36029004552256993
